data,novos_casos,novos_obitos,novos_testes,casos_acumulados,obitos_acumulados
19/03/20,3,0,,,
20/03/20,1,0,,,
21/03/20,0,0,,,
22/03/20,2,0,,,
23/03/20,1,0,,,
24/03/20,0,0,,,
25/03/20,0,0,,,
26/03/20,1,2,,,
27/03/20,2,0,,,
28/03/20,3,0,,,
29/03/20,5,0,,,
30/03/20,1,0,,,
31/03/20,0,0,,,
01/04/20,1,0,,,
02/04/20,1,0,,,
03/04/20,1,0,,,
04/04/20,1,0,,,
05/04/20,3,0,,,
06/04/20,5,0,,,
07/04/20,0,1,,,
08/04/20,7,2,,,
09/04/20,2,0,,,
10/04/20,5,0,,,
11/04/20,5,0,,,
12/04/20,4,0,,,
13/04/20,7,0,,,
14/04/20,17,0,,,
15/04/20,6,0,,,
16/04/20,6,0,,,
17/04/20,15,0,,,
18/04/20,16,0,,,
19/04/20,7,1,,,
20/04/20,24,1,,,
21/04/20,6,0,,,
22/04/20,10,0,,,
23/04/20,27,0,,,
24/04/20,22,1,,,
25/04/20,20,1,,,
26/04/20,23,0,,,
27/04/20,24,0,,,
28/04/20,26,2,,,
29/04/20,49,1,,,
30/04/20,64,0,,,
01/05/20,29,1,,,
02/05/20,36,1,,,
03/05/20,43,2,,,
04/05/20,43,1,,,
05/05/20,50,1,,,
06/05/20,30,3,,,
07/05/20,43,0,,,
08/05/20,73,2,,,
09/05/20,30,0,,,
10/05/20,56,1,,,
11/05/20,66,0,,,
12/05/20,66,2,,,
13/05/20,69,1,,,
14/05/20,60,1,,,
15/05/20,97,4,,,
16/05/20,50,1,,,
17/05/20,70,4,,,
18/05/20,50,1,,,
19/05/20,51,3,,,
20/05/20,92,4,,,
21/05/20,76,2,,,
22/05/20,82,1,,,
23/05/20,68,2,,,
24/05/20,68,7,,,
25/05/20,79,7,,,
26/05/20,97,2,,,
27/05/20,63,6,,,
28/05/20,56,8,,,
29/05/20,78,8,,,
30/05/20,122,2,,,
31/05/20,51,5,,,
01/06/20,125,4,,,
02/06/20,103,6,,,
03/06/20,89,5,,,
04/06/20,96,7,,,
05/06/20,119,10,,,
06/06/20,102,11,,,
07/06/20,131,3,,,
08/06/20,43,6,,,
09/06/20,43,13,,,
10/06/20,33,11,,,
11/06/20,67,4,,,